Start Time: 2017-11-03 16:40:31.870652
Read from file :Trainset_SeparateEachEpochPerRow_Signal_30s_Normalization.csv
Read from file :Testset_SeparateEachEpochPerRow_Signal_30s_Normalization.csv
Parameter:
{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': True, 'random_state': 10, 'splitter': 'best'}
DecisionTreeClassifier(class_weight='balanced', criterion='entropy',
            max_depth=None, max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=True, random_state=10,
            splitter='best')
Total Row : 84210
---------------- K-1 ------------------------

################ overall accuracy ###########
 0    1.0
1    1.0
2    1.0
3    1.0
4    1.0
dtype: float64
#############################################
##################  TPR  ######################
0    1.0
1    1.0
2    1.0
3    1.0
4    1.0
dtype: float64
##################  TNR  ######################
0    1.0
1    1.0
2    1.0
3    1.0
4    1.0
dtype: float64
##################  PPV  ######################
0    1.0
1    1.0
2    1.0
3    1.0
4    1.0
dtype: float64
##################  NPV  ######################
0    1.0
1    1.0
2    1.0
3    1.0
4    1.0
dtype: float64
##################  FPR  ######################
0    0.0
1    0.0
2    0.0
3    0.0
4    0.0
dtype: float64
##################  FNR  ######################
0    0.0
1    0.0
2    0.0
3    0.0
4    0.0
dtype: float64
##################  FDR  ######################
0    0.0
1    0.0
2    0.0
3    0.0
4    0.0
dtype: float64
##################  AUC  ######################
0.0
##################  F_measure  ######################
0    1.0
1    1.0
2    1.0
3    1.0
4    1.0
dtype: float64
-------------------------------------------------

---------------- K-2 ------------------------

################ overall accuracy ###########
 0    1.0
1    1.0
2    1.0
3    1.0
4    1.0
dtype: float64
#############################################
##################  TPR  ######################
0    1.0
1    1.0
2    1.0
3    1.0
4    1.0
dtype: float64
##################  TNR  ######################
0    1.0
1    1.0
2    1.0
3    1.0
4    1.0
dtype: float64
##################  PPV  ######################
0    1.0
1    1.0
2    1.0
3    1.0
4    1.0
dtype: float64
##################  NPV  ######################
0    1.0
1    1.0
2    1.0
3    1.0
4    1.0
dtype: float64
##################  FPR  ######################
0    0.0
1    0.0
2    0.0
3    0.0
4    0.0
dtype: float64
##################  FNR  ######################
0    0.0
1    0.0
2    0.0
3    0.0
4    0.0
dtype: float64
##################  FDR  ######################
0    0.0
1    0.0
2    0.0
3    0.0
4    0.0
dtype: float64
##################  AUC  ######################
0.0
##################  F_measure  ######################
0    1.0
1    1.0
2    1.0
3    1.0
4    1.0
dtype: float64
-------------------------------------------------

---------------- K-3 ------------------------

################ overall accuracy ###########
 0    1.0
1    1.0
2    1.0
3    1.0
4    1.0
dtype: float64
#############################################
##################  TPR  ######################
0    1.0
1    1.0
2    1.0
3    1.0
4    1.0
dtype: float64
##################  TNR  ######################
0    1.0
1    1.0
2    1.0
3    1.0
4    1.0
dtype: float64
##################  PPV  ######################
0    1.0
1    1.0
2    1.0
3    1.0
4    1.0
dtype: float64
##################  NPV  ######################
0    1.0
1    1.0
2    1.0
3    1.0
4    1.0
dtype: float64
##################  FPR  ######################
0    0.0
1    0.0
2    0.0
3    0.0
4    0.0
dtype: float64
