Start Time: 2017-10-30 18:11:59.375010
Read from file :Trainset_SeparateEachEpochPerRow_Signal30s_Normalization.csv
Read from file :Testset_SeparateEachEpochPerRow_Signal30s_Normalization.csv
Parameter:
{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=200, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)
Total Row : 5571
---------------- K-1 ------------------------

################ overall accuracy ###########
 0    0.974910
1    0.994624
2    0.978495
3    0.998208
4    0.996416
dtype: float64
#############################################
##################  TPR  ######################
0    0.969565
1    0.785714
2    0.981221
3    0.923077
4    0.988636
dtype: float64
##################  TNR  ######################
0    0.978659
1    1.000000
2    0.976812
3    1.000000
4    0.997872
dtype: float64
##################  PPV  ######################
0    0.969565
1    1.000000
2    0.963134
3    1.000000
4    0.988636
dtype: float64
##################  NPV  ######################
0    0.978659
1    0.994516
2    0.988270
3    0.998168
4    0.997872
dtype: float64
##################  FPR  ######################
0    0.021341
1    0.000000
2    0.023188
3    0.000000
4    0.002128
dtype: float64
##################  FNR  ######################
0    0.030435
1    0.214286
2    0.018779
3    0.076923
4    0.011364
dtype: float64
##################  FDR  ######################
0    0.030435
1    0.000000
2    0.036866
3    0.000000
4    0.011364
dtype: float64
##################  AUC  ######################
0.022647482623262733
##################  F_measure  ######################
0    0.969565
1    0.880000
2    0.972093
3    0.960000
4    0.988636
dtype: float64
-------------------------------------------------

---------------- K-2 ------------------------

################ overall accuracy ###########
 0    0.987433
1    0.996409
2    0.976661
3    1.000000
4    0.985637
dtype: float64
#############################################
##################  TPR  ######################
0    0.979339
1    0.882353
2    0.984456
3    1.000000
4    0.945055
dtype: float64
##################  TNR  ######################
0    0.993651
1    1.000000
2    0.972527
3    1.000000
4    0.993562
dtype: float64
##################  PPV  ######################
0    0.991632
1    1.000000
2    0.950000
3    1.000000
4    0.966292
dtype: float64
##################  NPV  ######################
0    0.984277
1    0.996310
2    0.991597
3    1.000000
4    0.989316
dtype: float64
##################  FPR  ######################
0    0.006349
1    0.000000
2    0.027473
3    0.000000
4    0.006438
dtype: float64
##################  FNR  ######################
0    0.020661
1    0.117647
2    0.015544
3    0.000000
4    0.054945
dtype: float64
##################  FDR  ######################
0    0.008368
1    0.000000
2    0.050000
3    0.000000
4    0.033708
dtype: float64
##################  AUC  ######################
0.026662227997698438
##################  F_measure  ######################
0    0.985447
1    0.937500
2    0.966921
3    1.000000
4    0.955556
dtype: float64
-------------------------------------------------

---------------- K-3 ------------------------

################ overall accuracy ###########
 0    0.976661
1    0.992819
2    0.978456
3    0.996409
4    0.983842
dtype: float64
#############################################
##################  TPR  ######################
0    0.983539
1    0.764706
2    0.975728
3    0.818182
4    0.937500
dtype: float64
##################  TNR  ######################
0    0.971338
1    1.000000
2    0.980057
3    1.000000
4    0.991614
dtype: float64
##################  PPV  ######################
0    0.963710
1    1.000000
2    0.966346
3    1.000000
4    0.949367
dtype: float64
##################  NPV  ######################
0    0.987055
1    0.992647
2    0.985673
3    0.996350
4    0.989540
dtype: float64
##################  FPR  ######################
0    0.028662
1    0.000000
2    0.019943
3    0.000000
4    0.008386
dtype: float64
##################  FNR  ######################
0    0.016461
1    0.235294
2    0.024272
3    0.181818
4    0.062500
dtype: float64
##################  FDR  ######################
0    0.036290
1    0.000000
2    0.033654
3    0.000000
4    0.050633
dtype: float64
##################  AUC  ######################
0.02695901984445952
##################  F_measure  ######################
0    0.973523
1    0.866667
2    0.971014
3    0.900000
4    0.943396
dtype: float64
-------------------------------------------------

---------------- K-4 ------------------------

################ overall accuracy ###########
 0    0.978456
1    0.991023
2    0.976661
3    0.998205
4    0.980251
dtype: float64
#############################################
##################  TPR  ######################
0    0.970833
1    0.789474
2    0.990566
3    0.875000
4    0.910256
dtype: float64
##################  TNR  ######################
0    0.984227
1    0.998141
2    0.968116
3    1.000000
4    0.991649
dtype: float64
##################  PPV  ######################
0    0.978992
1    0.937500
2    0.950226
3    1.000000
4    0.946667
dtype: float64
##################  NPV  ######################
0    0.978056
1    0.992606
2    0.994048
3    0.998182
4    0.985477
dtype: float64
##################  FPR  ######################
0    0.015773
1    0.001859
2    0.031884
3    0.000000
4    0.008351
dtype: float64
##################  FNR  ######################
0    0.029167
1    0.210526
2    0.009434
3    0.125000
4    0.089744
dtype: float64
##################  FDR  ######################
0    0.021008
1    0.062500
2    0.049774
3    0.000000
4    0.053333
dtype: float64
##################  AUC  ######################
0.029845319967780923
##################  F_measure  ######################
0    0.974895
1    0.857143
2    0.969977
3    0.933333
4    0.928105
dtype: float64
-------------------------------------------------

---------------- K-5 ------------------------

################ overall accuracy ###########
 0    0.976661
1    0.996409
2    0.974865
3    0.998205
4    0.985637
dtype: float64
#############################################
##################  TPR  ######################
0    0.969163
1    0.818182
2    0.978261
3    0.888889
4    0.950000
dtype: float64
##################  TNR  ######################
0    0.981818
1    1.000000
2    0.972477
3    1.000000
4    0.991614
dtype: float64
##################  PPV  ######################
0    0.973451
1    1.000000
2    0.961538
3    1.000000
4    0.950000
dtype: float64
##################  NPV  ######################
0    0.978852
1    0.996350
2    0.984520
3    0.998179
4    0.991614
dtype: float64
##################  FPR  ######################
0    0.018182
1    0.000000
2    0.027523
3    0.000000
4    0.008386
dtype: float64
##################  FNR  ######################
0    0.030837
1    0.181818
2    0.021739
3    0.111111
4    0.050000
dtype: float64
##################  FDR  ######################
0    0.026549
1    0.000000
2    0.038462
3    0.000000
4    0.050000
dtype: float64
##################  AUC  ######################
0.026205914928635908
##################  F_measure  ######################
0    0.971302
1    0.900000
2    0.969828
3    0.941176
4    0.950000
dtype: float64
-------------------------------------------------

---------------- K-6 ------------------------

################ overall accuracy ###########
 0    0.983842
1    1.000000
2    0.985637
3    1.000000
4    0.987433
dtype: float64
#############################################
##################  TPR  ######################
0    0.990950
1    1.000000
2    0.968750
3    1.000000
4    0.967391
dtype: float64
##################  TNR  ######################
0    0.979167
1    1.000000
2    0.996997
3    1.000000
4    0.991398
dtype: float64
##################  PPV  ######################
0    0.969027
1    1.000000
2    0.995413
3    1.000000
4    0.956989
dtype: float64
##################  NPV  ######################
0    0.993958
1    1.000000
2    0.979351
3    1.000000
4    0.993534
dtype: float64
##################  FPR  ######################
0    0.020833
1    0.000000
2    0.003003
3    0.000000
4    0.008602
dtype: float64
##################  FNR  ######################
0    0.009050
1    0.000000
2    0.031250
3    0.000000
4    0.032609
dtype: float64
##################  FDR  ######################
0    0.030973
1    0.000000
2    0.004587
3    0.000000
4    0.043011
dtype: float64
##################  AUC  ######################
0.020352868105090488
##################  F_measure  ######################
0    0.979866
1    1.000000
2    0.981900
3    1.000000
4    0.962162
dtype: float64
-------------------------------------------------

---------------- K-7 ------------------------

################ overall accuracy ###########
 0    0.987433
1    1.000000
2    0.982047
3    0.998205
4    0.985637
dtype: float64
#############################################
##################  TPR  ######################
0    0.980159
1    1.000000
2    0.974490
3    0.800000
4    0.977528
dtype: float64
##################  TNR  ######################
0    0.993443
1    1.000000
2    0.986150
3    1.000000
4    0.987179
dtype: float64
##################  PPV  ######################
0    0.991968
1    1.000000
2    0.974490
3    1.000000
4    0.935484
dtype: float64
##################  NPV  ######################
0    0.983766
1    1.000000
2    0.986150
3    0.998192
4    0.995690
dtype: float64
##################  FPR  ######################
0    0.006557
1    0.000000
2    0.013850
3    0.000000
4    0.012821
dtype: float64
##################  FNR  ######################
0    0.019841
1    0.000000
2    0.025510
3    0.200000
4    0.022472
dtype: float64
##################  FDR  ######################
0    0.008032
1    0.000000
2    0.025510
3    0.000000
4    0.064516
dtype: float64
##################  AUC  ######################
0.01362814711895332
##################  F_measure  ######################
0    0.986028
1    1.000000
2    0.974490
3    0.888889
4    0.956044
dtype: float64
-------------------------------------------------

---------------- K-8 ------------------------

################ overall accuracy ###########
 0    0.989228
1    0.994614
2    0.987433
3    0.996409
4    0.989228
dtype: float64
#############################################
##################  TPR  ######################
0    0.981735
1    0.823529
2    0.991228
3    0.800000
4    0.977273
dtype: float64
##################  TNR  ######################
0    0.994083
1    1.000000
2    0.984802
3    0.998188
4    0.991471
dtype: float64
##################  PPV  ######################
0    0.990783
1    1.000000
2    0.978355
3    0.800000
4    0.955556
dtype: float64
##################  NPV  ######################
0    0.988235
1    0.994475
2    0.993865
3    0.998188
4    0.995717
dtype: float64
##################  FPR  ######################
0    0.005917
1    0.000000
2    0.015198
3    0.001812
4    0.008529
dtype: float64
##################  FNR  ######################
0    0.018265
1    0.176471
2    0.008772
3    0.200000
4    0.022727
dtype: float64
##################  FDR  ######################
0    0.009217
1    0.000000
2    0.021645
3    0.200000
4    0.044444
dtype: float64
##################  AUC  ######################
0.014249953420008048
##################  F_measure  ######################
0    0.986239
1    0.903226
2    0.984749
3    0.800000
4    0.966292
dtype: float64
-------------------------------------------------

---------------- K-9 ------------------------

################ overall accuracy ###########
 0    0.980251
1    1.000000
2    0.974865
3    1.000000
4    0.994614
dtype: float64
#############################################
##################  TPR  ######################
0    0.969925
1    1.000000
2    0.974747
3    1.000000
4    0.985075
dtype: float64
##################  TNR  ######################
0    0.989691
1    1.000000
2    0.974930
3    1.000000
4    0.995918
dtype: float64
##################  PPV  ######################
0    0.988506
1    1.000000
2    0.955446
3    1.000000
4    0.970588
dtype: float64
##################  NPV  ######################
0    0.972973
1    1.000000
2    0.985915
3    1.000000
4    0.997955
dtype: float64
##################  FPR  ######################
0    0.010309
1    0.000000
2    0.025070
3    0.000000
4    0.004082
dtype: float64
##################  FNR  ######################
0    0.030075
1    0.000000
2    0.025253
3    0.000000
4    0.014925
dtype: float64
##################  FDR  ######################
0    0.011494
1    0.000000
2    0.044554
3    0.000000
4    0.029412
dtype: float64
##################  AUC  ######################
0.02449072569282728
##################  F_measure  ######################
0    0.979127
1    1.000000
2    0.965000
3    1.000000
4    0.977778
dtype: float64
-------------------------------------------------

---------------- K-10 ------------------------

################ overall accuracy ###########
 0    0.985637
1    0.994614
2    0.983842
3    1.000000
4    0.982047
dtype: float64
#############################################
##################  TPR  ######################
0    0.986364
1    0.833333
2    0.982301
3    1.000000
4    0.939024
dtype: float64
##################  TNR  ######################
0    0.985163
1    1.000000
2    0.984894
3    1.000000
4    0.989474
dtype: float64
##################  PPV  ######################
0    0.977477
1    1.000000
2    0.977974
3    1.000000
4    0.939024
dtype: float64
##################  NPV  ######################
0    0.991045
1    0.994465
2    0.987879
3    1.000000
4    0.989474
dtype: float64
##################  FPR  ######################
0    0.014837
1    0.000000
2    0.015106
3    0.000000
4    0.010526
dtype: float64
##################  FNR  ######################
0    0.013636
1    0.166667
2    0.017699
3    0.000000
4    0.060976
dtype: float64
##################  FDR  ######################
0    0.022523
1    0.000000
2    0.022026
3    0.000000
4    0.060976
dtype: float64
##################  AUC  ######################
0.01461979547085774
##################  F_measure  ######################
0    0.981900
1    0.909091
2    0.980132
3    1.000000
4    0.939024
dtype: float64
-------------------------------------------------

